"user","user_id"
"931051507","x497201990"
"931051507","x903668000984846338"
"931051507","x3321685196"
"931051507","x1373531468744552448"
"931051507","x971083034169692160"
"931051507","x1177645565028569091"
"931051507","x575552921"
"931051507","x257680378"
"931051507","x61508830"
"931051507","x461715115"
"931051507","x4333528707"
"931051507","x68957605"
"931051507","x980265568132632578"
"931051507","x1079713731028967426"
"931051507","x1567342946"
"931051507","x2755362122"
"931051507","x718293924658487296"
"931051507","x2747896150"
"931051507","x2738636676"
"931051507","x12895782"
"931051507","x464353545"
"931051507","x523346508"
"931051507","x2617771836"
"931051507","x740221917064507392"
"931051507","x399118035"
"931051507","x3190809856"
"931051507","x1166758465072746501"
"931051507","x42602780"
"931051507","x1001481108385648641"
"931051507","x779694738"
"931051507","x715696968627052544"
"931051507","x91242324"
"931051507","x1079401005945638918"
"931051507","x32362749"
"931051507","x128691966"
"931051507","x756516492297011200"
"931051507","x2321844925"
"931051507","x735998600"
"931051507","x767773556776308736"
"931051507","x750858767592525825"
"931051507","x3276762673"
"931051507","x242573651"
"931051507","x39369810"
"931051507","x703596972"
"931051507","x363802928"
"931051507","x3399434044"
"931051507","x855246440771276800"
"931051507","x1052598661501280256"
"931051507","x2251273825"
"931051507","x1046534683067076609"
"931051507","x1050490177557159936"
"931051507","x823695194"
"931051507","x1078047080"
"931051507","x1137419016"
"931051507","x297140068"
"931051507","x3151966410"
"931051507","x923973972164612097"
"931051507","x133183759"
"931051507","x144931441"
"931051507","x802064767921909760"
"931051507","x757243766"
"931051507","x711011088"
"931051507","x3065242710"
"931051507","x839342526033076224"
"931051507","x1009963267983396864"
"931051507","x713083282162843648"
"931051507","x366145551"
"931051507","x628476886"
"931051507","x256192019"
"931051507","x100076513"
"931051507","x254676866"
"931051507","x294914253"
"931051507","x2310070134"
"931051507","x987334537238667264"
"931051507","x580164989"
"931051507","x869252905940918272"
"931051507","x19264828"
"931051507","x259403751"
"931051507","x545418395"
"931051507","x977217812958666752"
"931051507","x954094239410991104"
"931051507","x2471668879"
"931051507","x571116254"
"931051507","x2670441949"
"931051507","x1226352164"
"931051507","x739690530"
"931051507","x1081355023"
"931051507","x721337563601072128"
"931051507","x37498254"
"931051507","x143615935"
"931051507","x2830761913"
"931051507","x60247105"
"931051507","x104550979"
"931051507","x758284218"
"931051507","x881628801439981568"
"931051507","x3741048741"
"931051507","x351777812"
"931051507","x56631980"
"931051507","x775173987596808192"
"931051507","x751854649104224256"
"931051507","x4831356975"
"931051507","x469805226"
"931051507","x33765901"
"931051507","x3178391529"
"931051507","x3266455993"
"931051507","x289723937"
"931051507","x761879286"
"931051507","x349338475"
"931051507","x752373898352599041"
"931051507","x472283970"
"931051507","x600676076"
"931051507","x753296831979753473"
"931051507","x578057270"
"931051507","x2396648270"
"931051507","x985442521"
"931051507","x4247011600"
"931051507","x563141821"
"931051507","x1864809822"
"931051507","x73311247"
"931051507","x579299426"
"931051507","x3031931471"
"931051507","x71225573"
"931051507","x1529272285"
"931051507","x4728656356"
"931051507","x309404463"
"931051507","x207166983"
"931051507","x4847494611"
"931051507","x1353025285"
"931051507","x18591485"
"931051507","x3056704809"
"931051507","x53906842"
"931051507","x4914946347"
"931051507","x1691335340"
"931051507","x495438035"
"931051507","x715553769530986496"
"931051507","x717072412672716800"
"931051507","x45047262"
"931051507","x1729344500"
"931051507","x456156262"
"931051507","x3317990444"
"931051507","x21963864"
"931051507","x1075230180"
"931051507","x1849321280"
"931051507","x258965637"
"931051507","x13331702"
"931051507","x701725616"
"931051507","x15873311"
"931051507","x4932211"
"931051507","x29828391"
"931051507","x14142065"
"931051507","x3364537535"
"931051507","x25635233"
"931051507","x108403587"
"931051507","x72413035"
"931051507","x2843093979"
"931051507","x2368077247"
"931051507","x2448866005"
"931051507","x3290888845"
"931051507","x73269843"
"931051507","x105199341"
"931051507","x166377113"
"931051507","x245817299"
"931051507","x2356988690"
"931051507","x523975384"
"931051507","x20488447"
"931051507","x55472407"
"931051507","x1067017454"
"931051507","x519071841"
"931051507","x206843292"
"931051507","x43237714"
"931051507","x368401933"
"931051507","x590163293"
"931051507","x16307712"
"931051507","x2332415851"
"931051507","x22326792"
"931051507","x122246374"
"931051507","x14861855"
"931051507","x1384380397"
"931051507","x2230766828"
"931051507","x14363791"
"931051507","x3241244747"
"931051507","x419158692"
"931051507","x16693545"
"931051507","x745583288"
"931051507","x38315467"
"931051507","x164149799"
"931051507","x229104864"
"931051507","x27961471"
"931051507","x313680864"
"931051507","x271127512"
"931051507","x10357202"
"931051507","x2473022758"
"931051507","x272142371"
"931051507","x365244932"
"931051507","x297432108"
"931051507","x85608548"
"931051507","x374872603"
"931051507","x84664035"
"931051507","x531191327"
"931051507","x600644470"
"931051507","x2551229970"
"931051507","x323053298"
"931051507","x15199255"
"931051507","x23675219"
"931051507","x3092782401"
"931051507","x761702504"
"931051507","x476203096"
"931051507","x2992902272"
"931051507","x105604879"
"931051507","x354672665"
"931051507","x2732935566"
"931051507","x39369366"
"931051507","x631496968"
"931051507","x1630767938"
"931051507","x787410007"
"931051507","x1708683589"
"931051507","x1895212777"
"931051507","x2421248119"
"931051507","x962526780"
"931051507","x1220186251"
"931051507","x19480840"
"931051507","x103718966"
"931051507","x35339502"
"931051507","x45483571"
"931051507","x102580213"
"931051507","x14299159"
"931051507","x1322770194"
"931051507","x188408542"
"931051507","x1344204650"
"931051507","x2298584988"
"931051507","x388506262"
"931051507","x30718477"
"931051507","x2229798780"
"931051507","x448550366"
"931051507","x16875255"
"931051507","x162869388"
"931051507","x2182339376"
"931051507","x297976990"
"931051507","x99792090"
"931051507","x74433525"
"931051507","x165947237"
"931051507","x17324770"
"931051507","x323018081"
"931051507","x613063898"
"931051507","x16216952"
"931051507","x323257453"
"931051507","x25936164"
"931051507","x136995521"
"931051507","x350988264"
"931051507","x179334563"
"931051507","x328638114"
"931051507","x1701440510"
"931051507","x453270872"
"931051507","x16905655"
"931051507","x101408040"
"931051507","x50210768"
"931051507","x17468920"
"931051507","x755569272"
"931051507","x232057245"
"931051507","x50480801"
"931051507","x468445878"
"931051507","x40295647"
"931051507","x551173408"
"931051507","x80405313"
"931051507","x94373538"
"931051507","x1419754159"
"931051507","x26573882"
"931051507","x231149249"
"931051507","x320409955"
"931051507","x977090869"
"931051507","x32382372"
"931051507","x533125951"
"931051507","x267874610"
"931051507","x181371258"
"931051507","x565145015"
"931051507","x1396035085"
"931051507","x84221888"
"931051507","x535271104"
"931051507","x55297371"
"931051507","x2657989927"
"931051507","x162844788"
"931051507","x99578444"
"931051507","x161396390"
"931051507","x92675834"
"931051507","x620468675"
"931051507","x59355393"
"931051507","x61257421"
"931051507","x39489815"
"931051507","x1939198676"
"931051507","x1853048305"
"931051507","x427051849"
"931051507","x346207393"
"931051507","x26579739"
"931051507","x170909585"
"931051507","x72074540"
"931051507","x513641390"
"931051507","x7198542"
"931051507","x927865255"
"931051507","x579219647"
"931051507","x498029440"
